Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rob's Seam","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997092/robs-seam,2.3,-1,Boulder,V4,1,15,33.81336,-116.65018
"Tribe Called Conquest","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488319/tribe-called-conquest,4.0,-1,Boulder,"V5+ R",1,20,33.81336,-116.65018
"Conquest Direct","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997097/conquest-direct,2.0,-1,Boulder,"V7 R",1,20,33.81336,-116.65018
"Standing on the Head of the Dragon","Dragon's Head > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997111/standing-on-the-head-of-the-dragon,3.6,-1,Boulder,V4,1,30,33.81363,-116.65063
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106884278/crouching-tiger-hidden-dragon,3.1,-1,Boulder,V7-,1,15,33.8128,-116.65002
"White Flight","White Flight Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674829/white-flight,3.8,-1,Boulder,"V3- PG13",1,20,33.81366,-116.64963
"Shades of the Oldschool","Green Tea Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674913/shades-of-the-oldschool,3.7,-1,Boulder,"V2 R",1,25,33.81393,-116.64932
"Green Tea Arête","Green Tea Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674918/green-tea-arete,3.0,-1,Boulder,V4,1,18,33.81393,-116.64932
"Solitude (stand)","Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948769/solitude-stand,4.0,-1,Boulder,V7,1,13,33.81349,-116.64906
Crack-Mantel-Sap,"Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948798/crack-mantel-sap,3.0,-1,Boulder,"V9 R",1,20,33.81349,-116.64906
