Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rock toast","Hedge Creek Falls > Northeast California > California",https://www.mountainproject.com/route/116175258/rock-toast,2.0,-1,Boulder,V4,1,15,41.2362,-122.26979
"Hedge hog traverse","Hedge Creek Falls > Northeast California > California",https://www.mountainproject.com/route/114343333/hedge-hog-traverse,2.0,-1,Boulder,V5+,1,40,41.2362,-122.26979
"Geko Skin","Opposite Main Wall > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/114297214/geko-skin,2.0,-1,Boulder,V2,1,10,40.7793,-122.0023
"Pop Rocks","Opposite Main Wall > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/114168397/pop-rocks,3.0,-1,Boulder,"V5+ PG13",1,10,40.7793,-122.0023
"Pop Rocks Sit","Opposite Main Wall > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/117527372/pop-rocks-sit,4.0,-1,Boulder,V8+,1,14,40.7793,-122.0023
"Warm up boulders","Approach Wall > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/114353628/warm-up-boulders,2.0,-1,Boulder,V0-1,1,15,40.77903,-122.0032
"Quinoa Cowboy","Back Walls > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/110750905/quinoa-cowboy,2.0,-1,Boulder,V3,1,,40.77937,-122.00232
"Porn Star","Main Wall Cave Routes > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/109039820/porn-star,3.2,-1,"Sport, Boulder","5.11- V2",1,30,40.77936,-122.00247
"Send twig","Main Wall Cave Routes > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/118693628/send-twig,3.0,-1,Boulder,V6-,1,15,40.77936,-122.00247
"Outback Steakhouse","Main Wall Cave Routes > Burney Limestone (aka The Shredding) > Northeast California > California",https://www.mountainproject.com/route/118693644/outback-steakhouse,2.0,-1,Boulder,V6+,1,18,40.77936,-122.00247
